epoch;accuracy;loss;val_accuracy;val_loss
0;0.921750009059906;0.19228196144104004;0.971666693687439;0.08222227543592453
1;0.965749979019165;0.08769387006759644;0.9783333539962769;0.05379798263311386
2;0.9751666784286499;0.06703341007232666;0.9853333234786987;0.043157197535037994
3;0.9854166507720947;0.03956782445311546;0.9823333621025085;0.04339558258652687
4;0.9892500042915344;0.026988640427589417;0.9829999804496765;0.038033489137887955
5;0.9910833239555359;0.022911669686436653;0.9423333406448364;0.1498335301876068
6;0.9890833497047424;0.03215872868895531;0.9916666746139526;0.02090691216289997
7;0.9884166717529297;0.0431772880256176;0.9929999709129333;0.019361862912774086
8;0.9941666722297668;0.016850870102643967;0.9943333268165588;0.0186638031154871
9;0.9959166646003723;0.011064089834690094;0.9909999966621399;0.02379077672958374
10;0.9947500228881836;0.016249675303697586;0.9940000176429749;0.02076374553143978
11;0.9965000152587891;0.009305272251367569;0.9929999709129333;0.0210602805018425
12;0.9936666488647461;0.026700088754296303;0.9896666407585144;0.03225237503647804
13;0.996833324432373;0.010649332776665688;0.9940000176429749;0.015069155022501945
14;0.9964166879653931;0.008420739322900772;0.9893333315849304;0.032761912792921066
15;0.9994999766349792;0.002206238219514489;0.9950000047683716;0.01633746363222599
16;0.9955000281333923;0.013416160829365253;0.9953333139419556;0.013706966303288937
17;0.9980000257492065;0.0068949144333601;0.9636666774749756;0.09856609255075455
18;0.9982500076293945;0.00638469448313117;0.9959999918937683;0.015128863975405693
19;1.0;0.0002533078077249229;0.9953333139419556;0.01808977499604225
20;0.9980833530426025;0.006222647149115801;0.9943333268165588;0.015297753736376762
21;0.9959166646003723;0.01579730212688446;0.9936666488647461;0.02187836542725563
22;0.9992499947547913;0.0025063969660550356;0.9959999918937683;0.017666012048721313
23;0.9993333220481873;0.0023334771394729614;0.984000027179718;0.06438403576612473
24;0.9960833191871643;0.012323674745857716;0.9783333539962769;0.06653313338756561
25;0.9928333163261414;0.0160900317132473;0.9909999966621399;0.029458148404955864
26;0.9948333501815796;0.015398530289530754;0.9940000176429749;0.021718457341194153
27;0.9994999766349792;0.0026081858668476343;0.9943333268165588;0.016744283959269524
28;1.0;7.435758016072214e-05;0.9946666955947876;0.018281565979123116
29;1.0;3.587361061363481e-05;0.9946666955947876;0.01992238685488701
30;1.0;1.9825136405415833e-05;0.9950000047683716;0.021042929962277412
31;1.0;1.2179784789623227e-05;0.9950000047683716;0.02203310653567314
32;1.0;7.653568900423124e-06;0.9950000047683716;0.023222770541906357
33;1.0;4.8350461838708725e-06;0.9953333139419556;0.024786412715911865
34;1.0;3.077037035836838e-06;0.9959999918937683;0.026662686839699745
35;1.0;1.8172733007304487e-06;0.9946666955947876;0.025424931198358536
36;1.0;1.232443196386157e-06;0.9946666955947876;0.026410158723592758
37;1.0;9.22859499041806e-07;0.9950000047683716;0.027424095198512077
38;1.0;5.453340463645873e-07;0.9946666955947876;0.029494695365428925
39;1.0;3.024433112841507e-07;0.9950000047683716;0.029424328356981277
40;1.0;1.9941215612107044e-07;0.9950000047683716;0.031490176916122437
41;1.0;1.1226389062812814e-07;0.9953333139419556;0.032915521413087845
42;1.0;8.296883180491932e-08;0.9946666955947876;0.03280410170555115
43;1.0;4.911397866180778e-08;0.9950000047683716;0.033733122050762177
44;1.0;3.274271875852719e-08;0.9946666955947876;0.03438408300280571
45;1.0;1.9897981928806985e-08;0.9953333139419556;0.037613701075315475
46;1.0;1.5596514302274045e-08;0.9946666955947876;0.036275602877140045
47;0.9943333268165588;0.09859611093997955;0.9940000176429749;0.02033589594066143
48;1.0;0.00012855659588240087;0.9946666955947876;0.0224898774176836
49;0.9992499947547913;0.003949447069317102;0.9903333187103271;0.041966043412685394
